#Lam(nm), R%(0-100), T%(0-100)
269.6, 19.5893265548, 1.2261034764
271.6, 19.6814498373, 1.76186552862
273.7, 19.649352855, 2.49730739054
275.8, 19.3460857692, 3.44520920427
277.9, 18.6684377027, 4.72684801001
280.0, 17.6752171336, 6.34402240107
282.0, 16.5391978919, 7.82442121587
284.1, 15.3607298495, 9.60301559498
286.2, 14.425813652, 11.6220311644
288.3, 13.9757395837, 13.7803386522
290.4, 14.1112059547, 16.0441284358
292.4, 14.7825837478, 17.9477639393
294.5, 15.9587263701, 19.9954366243
296.6, 17.3581847807, 21.8935232681
298.7, 18.8115183134, 23.8556945497
300.8, 20.0722313287, 25.7368919179
302.8, 20.9748539705, 27.5063350333
304.9, 21.4918592187, 29.4261584614
307.0, 21.5414807864, 31.5304915545
309.1, 21.1220627863, 33.7799638557
311.2, 20.2575681106, 36.1258231185
313.3, 18.9933294923, 38.6032817059
315.3, 17.531612537, 41.0621909038
317.4, 15.8120710625, 43.801706774
319.5, 14.0607140822, 46.5581849249
321.6, 12.3674556026, 49.2775852178
323.7, 10.9338329179, 51.7879396121
325.7, 9.88968848602, 54.0148567589
327.8, 9.21972461796, 56.1024235376
329.9, 9.03817795999, 57.7972673863
332.0, 9.30552913287, 59.1452850649
334.1, 10.0181135722, 60.1740104582
336.1, 11.0249174375, 60.7936289151
338.2, 12.3509828194, 61.1829302528
340.3, 13.8471544846, 61.3464027544
342.4, 15.4373826186, 61.3771380072
344.5, 16.9991264761, 61.2907971884
346.6, 18.4593050381, 61.155072452
348.6, 19.740457468, 61.0650978284
350.7, 20.9012736932, 60.9994866383
352.8, 21.8646171587, 61.0055141953
354.9, 22.6150856755, 61.124018302
357.0, 23.1430303826, 61.3624778381
359.0, 23.4399285962, 61.7010435741
361.1, 23.5431908402, 62.1933616437
363.2, 23.4396494467, 62.827207603
365.3, 23.1413215641, 63.5926956777
367.4, 22.6647636556, 64.4781504119
369.4, 22.0526211517, 65.447724448
371.5, 21.2775249915, 66.5376456257
373.6, 20.3645930648, 67.7501024996
375.7, 19.3604215591, 69.0166610199
377.8, 18.2622479012, 70.3729031048
379.9, 17.1348083154, 71.722351326
381.9, 16.0270580552, 73.0407164757
384.0, 14.8669364671, 74.4137073183
386.1, 13.7361383329, 75.7521134555
388.2, 12.6553405178, 77.0423334316
390.3, 11.6514836744, 78.2576189489
392.3, 10.7928379115, 79.3152370116
394.4, 10.0027475312, 80.3184549918
396.5, 9.34246758399, 81.1989696202
398.6, 8.82645136989, 81.9374611966
400.7, 8.45908272672, 82.5304661923
402.7, 8.24769922015, 82.9622905554
404.8, 8.16981278436, 83.2731921891
406.9, 8.23324004116, 83.4395767613
409.0, 8.42781773257, 83.4750854834
411.1, 8.74213876131, 83.3905602567
413.2, 9.16257868127, 83.1972773255
415.2, 9.64359974747, 82.9221074048
417.3, 10.2212695596, 82.5561976289
419.4, 10.8567766574, 82.1255475636
421.5, 11.53163475, 81.6445340454
423.6, 12.2348764047, 81.1257359621
425.6, 12.9186364169, 80.6100703913
427.7, 13.6390025597, 80.0573988056
429.8, 14.3464726828, 79.5032490984
431.9, 15.0360770838, 78.9576129744
434.0, 15.6993134669, 78.4290612295
436.0, 16.2996709047, 77.9466746903
438.1, 16.8893073501, 77.469663362
440.2, 17.4338663656, 77.0281304876
442.3, 17.9295738698, 76.6244881725
444.4, 18.3764641567, 76.2610464392
446.5, 18.7706500855, 75.9420261467
448.5, 19.0951735555, 75.6793024038
450.6, 19.3836950882, 75.447852049
452.7, 19.6185000775, 75.2633470462
454.8, 19.7992222413, 75.1238597897
456.9, 19.9273564281, 75.0304467541
458.9, 20.0018259572, 74.9829634145
461.0, 20.0303710479, 74.9754648224
463.1, 20.0103578699, 75.0113729659
465.2, 19.9447125306, 75.0862638967
467.3, 19.8339838403, 75.2009974955
469.3, 19.6885037464, 75.3457652672
471.4, 19.4979994248, 75.5300140054
473.5, 19.2702282801, 75.748106356
475.6, 19.0060058664, 75.9968302396
477.7, 18.7101856473, 76.2739881866
479.8, 18.3861517717, 76.5756272356
481.8, 18.0539296888, 76.8833713457
483.9, 17.6827443109, 77.2263872806
486.0, 17.2891361566, 77.5878314432
488.1, 16.8770324721, 77.966022966
490.2, 16.4518099879, 78.3539508942
492.2, 16.0355654582, 78.7339836614
494.3, 15.587457683, 79.1402158306
496.4, 15.1333640153, 79.5519076699
498.5, 14.6773087341, 79.9635366852
500.6, 14.2210717978, 80.3749748605
502.6, 13.7895438576, 80.7625587709
504.7, 13.3403063279, 81.1653025461
506.8, 12.8966972798, 81.5606404324
508.9, 12.463142093, 81.9461658393
511.0, 12.0422940051, 82.3185250333
513.1, 11.6357411619, 82.6771468846
515.1, 11.2639041644, 83.0031571184
517.2, 10.890155694, 83.3295024706
519.3, 10.5342578513, 83.636906863
521.4, 10.1992166004, 83.9248655474
523.5, 9.88658706768, 84.190372487
525.5, 9.61009499625, 84.4237639316
527.6, 9.3432241298, 84.6450879657
529.7, 9.10047714703, 84.8444256205
531.8, 8.88248084496, 85.018968277
533.9, 8.68916947543, 85.1707766247
535.9, 8.52741307088, 85.2925474413
538.0, 8.38145767922, 85.3975506401
540.1, 8.26031163138, 85.4793762915
542.2, 8.16327478634, 85.5386164686
544.3, 8.08917677236, 85.5762848928
546.4, 8.03712613213, 85.5909443085
548.4, 8.00768239483, 85.5866286707
550.5, 7.99688348091, 85.561751119
552.6, 8.005697269, 85.5187582023
554.7, 8.0329455515, 85.4577981235
556.8, 8.077433565, 85.3801028076
558.8, 8.13476571354, 85.2922505354
560.9, 8.20964860423, 85.1833814912
563.0, 8.29820365854, 85.0622554699
565.1, 8.39872637686, 84.9296002918
567.2, 8.51006578495, 84.7869789078
569.2, 8.62510474459, 84.6426780202
571.3, 8.75408252466, 84.4819345344
573.4, 8.89030750644, 84.3148434508
575.5, 9.03286841436, 84.139647016
577.6, 9.18045630576, 83.9588684104
579.6, 9.32446883644, 83.7837067069
581.7, 9.47783245555, 83.5969900852
583.8, 9.63291335495, 83.4090100419
585.9, 9.78872119243, 83.2194096596
588.0, 9.9443335466, 83.028921142
590.1, 10.0989326044, 82.8396659116
592.1, 10.2444383214, 82.6592359354
594.2, 10.3947237887, 82.4718343228
596.3, 10.5418084441, 82.287464432
598.4, 10.6850968421, 82.102946593
600.5, 10.8238583159, 81.9228880114
602.5, 10.9512605467, 81.7556053109
604.6, 11.0795365625, 81.5842351695
606.7, 11.2019819972, 81.4184907138
608.8, 11.3181598031, 81.2579992204
610.9, 11.4277911764, 81.1029397644
612.9, 11.5259746807, 80.9612093323
615.0, 11.6219897892, 80.8168399963
617.1, 11.7104852872, 80.6775529602
619.2, 11.7915836387, 80.5452991966
621.3, 11.8651315962, 80.4191033241
623.4, 11.9311166292, 80.2994030513
625.4, 11.9869380612, 80.1920551942
627.5, 12.0378007823, 80.0848092007
629.6, 12.0807977618, 79.9836173758
631.7, 12.1162530072, 79.8895658544
633.8, 12.143815365, 79.8011958649
635.8, 12.1627988805, 79.7223739218
637.9, 12.1756025105, 79.6463672714
640.0, 12.1808671975, 79.5761419287
642.1, 12.178471134, 79.5109773703
644.2, 12.1692015002, 79.4523462159
646.2, 12.1541261019, 79.4020034055
648.3, 12.1318154739, 79.3534570557
650.4, 12.1032739484, 79.3108610829
652.5, 12.0687394483, 79.2739955093
654.6, 12.028143644, 79.2405540937
656.7, 11.9820419438, 79.2122937871
658.7, 11.9332708331, 79.1900743525
660.8, 11.8763042683, 79.1699603442
662.9, 11.8139211906, 79.1533550953
665.0, 11.7470716725, 79.1411284864
667.1, 11.6757035186, 79.1325182197
669.1, 11.6027295892, 79.1258949394
671.2, 11.5225459862, 79.1225196225
673.3, 11.4390018558, 79.1225535745
675.4, 11.3518945243, 79.1239831208
677.5, 11.2618106204, 79.1276171329
679.5, 11.1736950431, 79.1335491159
681.6, 11.078888571, 79.1417656948
683.7, 10.981426119, 79.1499626491
685.8, 10.8823011745, 79.1600981732
687.9, 10.7817828807, 79.1719353182
690.0, 10.6789898034, 79.1836781273
692.0, 10.5793032431, 79.194671248
694.1, 10.4740451515, 79.2072242513
696.2, 10.3684284089, 79.2206000175
698.3, 10.2618297911, 79.2322657044
700.4, 10.1551609492, 79.2437986393
702.4, 10.0538996508, 79.2549914395
704.5, 9.94812291946, 79.266787104
706.6, 9.84194846778, 79.2753826321
708.7, 9.73676213236, 79.283675986
710.8, 9.63274587295, 79.2915098133
712.8, 9.53480811295, 79.2980929879
714.9, 9.43233784294, 79.3012937363
717.0, 9.33155909684, 79.3036105529
719.1, 9.2326104805, 79.3049236713
721.2, 9.13543482956, 79.3046085241
723.3, 9.03926211885, 79.2999779388
725.3, 8.9497476279, 79.2943354322
727.4, 8.85802940991, 79.2870387367
729.5, 8.76865695393, 79.2780780048
731.6, 8.68056049919, 79.263803108
733.7, 8.59507238425, 79.2479089581
735.7, 8.51612406905, 79.2312262557
737.8, 8.43585636126, 79.2120533112
739.9, 8.35723691644, 79.1874166679
742.0, 8.28124668161, 79.1603879884
744.1, 8.20807455977, 79.1315799867
746.1, 8.14100230696, 79.1024888397
748.2, 8.07261757161, 79.0674570212
750.3, 8.00655580785, 79.0285755867
752.4, 7.94331914809, 78.9879266234
754.5, 7.88286457063, 78.9455393905
756.6, 7.82486616775, 78.9001796835
758.6, 7.77132518101, 78.8515501604
760.7, 7.71773362246, 78.7988873956
762.8, 7.66675790809, 78.7446373496
764.9, 7.61831601508, 78.6888589739
767.0, 7.57184771154, 78.6279203634
769.0, 7.52967267978, 78.5674880085
771.1, 7.48762955087, 78.5027434123
773.2, 7.44777893941, 78.4367506669
775.3, 7.40987028225, 78.3686615433
777.4, 7.37311945682, 78.2939232652
779.4, 7.3399097513, 78.2218016251
781.5, 7.30680269685, 78.1451682306
783.6, 7.27537977788, 78.0676937652
785.7, 7.24524207808, 77.9869209296
787.8, 7.21619351448, 77.902105789
789.9, 7.18847762611, 77.816740334
791.9, 7.16320105885, 77.7350116272
794.0, 7.13771128486, 77.6488335094
796.1, 7.1126569569, 77.5579122138
798.2, 7.08806393978, 77.463474836
800.3, 7.06419192689, 77.3689626438
802.3, 7.04200676383, 77.2789628212
804.4, 7.0191661611, 77.1845585948
806.5, 6.99622528464, 77.0858534975
808.6, 6.97323271273, 76.98469384
810.7, 6.95033649763, 76.8839281802
812.7, 6.92850978387, 76.7883986868
814.8, 6.9054579593, 76.6886242888
816.9, 6.88173138877, 76.5852960811
819.0, 6.85724917685, 76.4789122902
821.1, 6.83228889759, 76.3733446332
823.2, 6.80674781681, 76.2686555132
825.2, 6.78179381572, 76.1698218107
827.3, 6.75449675558, 76.0641258928
829.4, 6.72545273863, 75.9523156469
831.5, 6.69542574062, 75.8416902556
833.6, 6.6643347421, 75.7322937992
835.6, 6.6336665779, 75.6292855122
837.7, 6.60028847498, 75.5223984133
839.8, 6.56471341044, 75.4089882648
841.9, 6.5277295646, 75.2966282837
844.0, 6.48933087492, 75.1857350538
846.0, 6.45140396602, 75.0815019867
848.1, 6.41011889916, 74.9735183371
850.2, 6.36663127458, 74.8625231381
852.3, 6.32063946234, 74.7470982756
854.4, 6.27299988978, 74.6332990389
856.4, 6.22608380416, 74.5264256751
858.5, 6.1751920722, 74.4157822404
860.6, 6.12262933449, 74.3067381143
862.7, 6.06686156989, 74.1904374492
864.8, 6.00888553557, 74.0730476186
866.9, 5.94919093626, 73.957318842
868.9, 5.8907641179, 73.848617013
871.0, 5.82779247115, 73.7360389915
873.1, 5.76319450038, 73.6250209078
875.2, 5.69501122267, 73.5045924407
877.3, 5.62513257652, 73.3852028274
879.3, 5.55715025481, 73.2729283279
881.4, 5.48432750773, 73.1564899894
883.5, 5.41009668489, 73.0414816383
885.6, 5.33453254602, 72.9278447645
887.7, 5.25521686185, 72.8032251415
889.7, 5.17842446683, 72.6852176155
891.8, 5.09669195233, 72.5625711762
893.9, 5.01393127804, 72.4411459563
896.0, 4.93024771508, 72.3208683109
898.1, 4.84575081284, 72.2016632832
900.2, 4.75772156933, 72.0711960825
902.2, 4.67247205925, 71.9442449538
904.3, 4.58248564762, 71.8118771457
906.4, 4.49214772996, 71.6803772628
908.5, 4.40159824896, 71.549657964
910.6, 4.31098015574, 71.419631802
912.6, 4.22333453703, 71.2899102562
914.7, 4.12931377783, 71.1441192339
916.8, 4.03569541344, 70.9988574448
918.9, 3.94264529756, 70.8540307406
921.0, 3.85033089594, 70.7095460415
923.0, 3.76325077698, 70.5721755045
925.1, 3.67285987242, 70.4280952178
927.2, 3.58019178828, 70.2672276218
929.3, 3.48844601936, 70.1036157035
931.4, 3.39840291964, 69.939982871
933.5, 3.31024980088, 69.7762382561
935.5, 3.22822212659, 69.620106396
937.6, 3.14429497993, 69.4558921143
939.7, 3.06218828594, 69.2879959975
941.8, 2.9791282995, 69.0997927432
943.9, 2.89909575491, 68.9111442927
945.9, 2.82586877012, 68.7309925458
948.0, 2.75231012413, 68.541250023
950.1, 2.68234854983, 68.3508401999
952.2, 2.61616896412, 68.1596963998
954.3, 2.55316965371, 67.9620406049
956.3, 2.49478454736, 67.7556454356
958.4, 2.4379543106, 67.5381502426
960.5, 2.38588315272, 67.3198061259
962.6, 2.33874311131, 67.1005679287
964.7, 2.2966992082, 66.8803958334
966.8, 2.25990916042, 66.6592553517
968.8, 2.22989301707, 66.4477182975
970.9, 2.20075643989, 66.189390027
973.0, 2.17792861413, 65.93013913
975.1, 2.16155605124, 65.6699536459
977.2, 2.15177501901, 65.4088278352
979.2, 2.14870318533, 65.1592626157
981.3, 2.15214435037, 64.8963073798
983.4, 2.16251800636, 64.6324298402
985.5, 2.17906940223, 64.3436242974
987.6, 2.2028104822, 64.0421468307
989.6, 2.23266581013, 63.7544848535
991.7, 2.27168552554, 63.4519121656
993.8, 2.31861795646, 63.1488452722
995.9, 2.37350565896, 62.8453363013
998.0, 2.43637888235, 62.5414422586
1000.1, 2.50731597465, 62.2349893389
1002.1, 2.58388754623, 61.9005344401
1004.2, 2.67295698182, 61.549641335
1006.3, 2.77088544452, 61.1991273947
1008.4, 2.87763758905, 60.8490853344
1010.5, 2.99316503769, 60.4996111244
1012.5, 3.11129398448, 60.167396868
1014.6, 3.24376740418, 59.8193183923
1016.7, 3.38554366763, 59.4638542299
1018.8, 3.54083234168, 59.0603440344
1020.9, 3.70550581595, 58.658791768
1022.9, 3.87093419828, 58.2782973757
1025.0, 4.05351443667, 57.8809332872
1027.1, 4.24503187288, 57.4859012457
1029.2, 4.4453142999, 57.0933269468
1031.3, 4.65418036958, 56.7033349323
1033.4, 4.87186901567, 56.3128006391
1035.4, 5.09547041407, 55.8823276712
1037.5, 5.33903874995, 55.4346409809
1039.6, 5.59135894592, 54.991495484
1041.7, 5.85217169806, 54.5530150257
1043.8, 6.12121261258, 54.119318824
1045.8, 6.38484613713, 53.7108274808
1047.9, 6.66917452508, 53.2867970606
1050.0, 6.96092949282, 52.8678740567
1052.1, 7.26786019487, 52.4045540192
1054.2, 7.58733085421, 51.9178825153
1056.2, 7.89851701066, 51.4615344512
1058.3, 8.23221917405, 50.9899386873
1060.4, 8.57272442755, 50.5261550232
1062.5, 8.91970764389, 50.0702347416
1064.6, 9.27284780524, 49.6222217964
1066.7, 9.63182864585, 49.1821530164
1068.7, 9.97886072195, 48.7704530783
1070.8, 10.3664832521, 48.2569049138
1072.9, 10.7629117008, 47.7400354368
1075.0, 11.1648316129, 47.2349002073
1077.1, 11.5718928622, 46.7414288544
1079.1, 11.9640402155, 46.2822294218
1081.2, 12.3801741164, 45.8113016824
1083.3, 12.8004836746, 45.351791641
1085.4, 13.2246655026, 44.9036047539
1087.5, 13.6524283897, 44.466641734
1089.5, 14.0780246696, 43.9587120685
1091.6, 14.5303403558, 43.4290546029
1093.7, 14.9861671871, 42.9153317396
1095.8, 15.445226452, 42.4172528046
1097.9, 15.9072566582, 41.9345287157
1100.0, 16.3720131277, 41.4668726066
